Property,Desc. Rank,Desc. Imp.,Desc. Name
CN,1,0.19717790458275425,SpMaxA_EA(ed)
CN,2,0.05823659036557997,PHI
CN,3,0.055680508629969164,X5Av
CN,4,0.044893524681807344,S3K
CN,5,0.04207388305476714,SssCH2
CN,6,0.029825169191307663,S2K
CN,7,0.028625099180480534,nCs
CN,8,0.025642888215342136,LOC
CN,9,0.025533030268189663,GATS2e
CN,10,0.025249261419837247,SpMaxA_EA(bo)
YSI,1,0.18075387153284356,SM6_B(p)
YSI,2,0.09514883858480916,SpMax1_Bh(p)
YSI,3,0.08173988512051222,piPC05
YSI,4,0.07274612655999595,piID
YSI,5,0.06072294562519663,piPC04
YSI,6,0.05277607848567022,nCar
YSI,7,0.04378728672164427,piPC09
YSI,8,0.036799983641893304,SM03_AEA(bo)
YSI,9,0.031479747640938756,SM5_B(p)
YSI,10,0.024012589445050962,SpMax1_Bh(v)
KV,1,0.16083898050712425,SsOH
KV,2,0.1513558292881672,Psi_i_t
KV,3,0.08537049881047297,SpPos_B(s)
KV,4,0.05184620920410446,VE1sign_Dz(p)
KV,5,0.03761096838494341,SpAD_B(s)
KV,6,0.016538731868966438,SpAbs_B(s)
KV,7,0.016226301288084107,ATSC4e
KV,8,0.012092655678182528,Psi_e_1
KV,9,0.009851507117913709,ATSC6s
KV,10,0.009353059460238577,ATS3v
CP,1,0.0754534301551433,VE2sign_Dz(i)
CP,2,0.06495876042246974,GATS2e
CP,3,0.05964982612311337,VE2sign_Dz(m)
CP,4,0.058844556748807716,VE2sign_Dz(e)
CP,5,0.04914904285104784,VE2sign_Dz(Z)
CP,6,0.047207163705618685,VE2sign_Dz(p)
CP,7,0.036982622270951795,VE2sign_Dz(v)
CP,8,0.03232717391109377,Eta_F_A
CP,9,0.029324349311639075,MATS4m
CP,10,0.028858006447371843,MATS2p
LHV,1,0.5932039979133434,O%
LHV,2,0.2660114876643818,Me
LHV,3,0.027658653748823495,Eta_epsi_4
LHV,4,0.014697368137100791,Eta_D_epsiC
LHV,5,0.008541538956192994,IC0
LHV,6,0.004634766437545034,Eta_epsi_2
LHV,7,0.0040907869089974016,F02[C-O]
LHV,8,0.0040841379405025064,P_VSA_ppp_cyc
LHV,9,0.004021890849957487,Eta_D_AlphaB
LHV,10,0.00376979806892572,Eta_D_psiA
