Reactor Type,Target Variable,Reaction Time (s),Temperature (C),Particle size (mm),Moisture,Ash,C,H,N,O
Fluidized Bed,Oil,0.03416300345144615,0.25332368147628415,0.13003640599555272,0.03946250184600599,0.04172382343940804,0.2120798852329955,0.028675523389244267,0.02989356886689524,0.23064160630216807
Fluidized Bed,Char,0.09447113934041178,0.20258175633030773,0.07148491765742034,0.06325231761065431,0.179482747059502,0.053429484723741254,0.15902787554401218,0.12315031317448133,0.05311944855946915
Fluidized Bed,Gas,0.07354476071801695,0.11196398431688644,0.035329544772150036,0.055004701850667054,0.09058914829615097,0.26467324077992566,0.05045501916968317,0.06223538613620685,0.25620421396031295
Batch Reactor,Oil,0.022059870093212378,0.40207570154757216,0.20849134738094102,0.1141211584416319,0.0216458020355199,0.075926711614569,0.011533595200397201,0.006884130238705031,0.13726168344745143
Batch Reactor,Char,0.25174202042002963,0.18193695090478273,0.08422688498897196,0.0022264226507892866,0.045197775396252006,0.28823162417441667,0.11654456631915172,0.02005850907504567,0.009835246070560405
Batch Reactor,Gas,0.10661000663207824,0.34083485172448347,0.13730487624533524,0.006676436471158937,0.005186823513896584,0.10149614037903054,0.2566737335656495,0.02411368940546179,0.021103442062905722
Tubular Reactor,Oil,0.4134557032863589,0.5865442967136411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tubular Reactor,Char,0.954128500343236,0.045871499656763966,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tubular Reactor,Gas,0.05939320055180563,0.9406067994481944,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All Reactors,Oil,0.06598146380296652,0.5325437562421095,0.11519023051996505,0.005875300595222303,0.002955353823719596,0.009559263652170148,0.015427578557584308,0.011432622677984113,0.24103443012827855
All Reactors,Char,0.16398901751621167,0.09484381963894319,0.025928258661979914,0.005403035564701624,0.014162699049361828,0.11720282175061429,0.43427761807552057,0.050207125730253266,0.09398560401241374
All Reactors,Gas,0.01148764143803133,0.38542453060505494,0.058930232877377565,0.002544249009780406,0.0025918865327947773,0.009794298608566947,0.3087977218740308,0.007070243174287574,0.21335919588007568
